Date,Hacienda,SCWA Diversion,Dry Creek Mouth,Healdsburg,Cloverdale,Hopland,Millview,Lake Mendocino,Calpella
Jul-97,-389844.572,-388601.9989,-10704.63173,-63448.12534,-27586.81183,-25924.60754,-7754.559045,-235.154725,-195.2400252
Aug-97,-363274.065,-361918.9061,-10704.63173,-59541.89596,-24701.74047,-22932.76704,-7214.630422,-246.0571399,-206.1424401
Sep-97,-330226.8744,-328824.1297,-11061.45279,-54902.66286,-18443.01592,-16944.09338,-6122.959703,-282.8090077,-255.6536526
Oct-97,-241663.6997,-240304.5032,-2209.176222,-21534.61569,-10474.23844,-9371.265847,-4576.726111,-136.065665,-128.3954125
Nov-97,-184978.8911,-183952.17,-195.5559187,-14486.49422,-7990.735831,-7163.362198,-3501.881665,-93.08015209,-89.78306012
Dec-97,-157706.845,-156732.3971,-161.9352803,-12989.97203,-7386.387785,-6516.026339,-3140.145757,-109.385119,-102.8668872
Jan-98,-147301.8712,-146331.9549,-160.6921815,-18415.85268,-12393.85931,-11531.30191,-2444.345398,-73.13033542,-66.61210368
Feb-98,-172118.9321,-171045.0962,-178.5328153,-20147.64673,-13568.34601,-12696.52556,-2744.354846,-127.3184475,-120.1018338
Mar-98,-168280.0913,-167351.3027,-165.3042094,-20582.76917,-14300.7074,-13524.39494,-3222.839087,-98.21778809,-95.02705392
Apr-98,-169311.7617,-168320.3369,-199.4748553,-18855.2584,-13103.7206,-12276.34697,-3634.525457,-93.24482675,-89.79199213
May-98,-180771.9142,-179767.1365,-239.8941846,-15886.41095,-9793.834142,-8993.149981,-4833.975025,-114.9349173,-107.2646648
Jun-98,-254266.2053,-252935.4165,-4965.677368,-32079.83611,-14512.2349,-13127.46657,-5257.37852,-189.5238275,-171.3466537
Jul-98,-350377.9098,-349121.8839,-4879.519739,-46493.07149,-24573.83444,-22984.3416,-7152.177928,-235.154725,-195.2400252
Aug-98,-367513.345,-366143.9884,-4879.519739,-50026.42452,-28198.05565,-26460.76063,-7767.360941,-249.7492982,-195.2400252
Sep-98,-321262.5453,-319964.6519,-4965.677368,-44122.6018,-22866.38024,-21367.4577,-6741.129824,-269.9982272,-242.8428721
Oct-98,-247609.7633,-246298.9047,-2209.118545,-22321.06291,-11404.09806,-10526.33462,-5075.827065,-129.8586299,-122.1883773
Nov-98,-175492.5886,-174498.5192,-169.7922888,-14035.80907,-7853.92288,-7118.741887,-3255.543196,-167.4151689,-160.6796628
Dec-98,-168963.6746,-167989.681,-159.6144324,-13375.58221,-8014.712421,-7193.190146,-3231.316018,-109.385119,-102.8668872
Jan-99,-168777.4465,-167803.4528,-161.9352803,-13974.0373,-7942.388863,-7072.027417,-3041.882554,-109.385119,-102.8668872
Feb-99,-167980.4222,-166902.0721,-178.5328153,-17604.19563,-11484.17428,-10607.93898,-2955.042424,-121.1049531,-113.8883394
Mar-99,-164939.9695,-163965.9758,-160.6921815,-13623.2194,-7808.865259,-7021.414531,-2960.054218,-114.9973074,-108.4790757
Apr-99,-179285.6092,-178294.1844,-245.7114596,-14648.83023,-8662.541525,-7835.167891,-3494.373526,-114.2929882,-110.8401536
May-99,-279892.6507,-278600.2929,-2311.697437,-27585.93903,-14039.70868,-12955.70465,-5453.137006,-198.1804004,-190.5101478
