Stress_period,SCWA Diversion,Hacienda,Dry Creek Mouth,Healdsburg,Cloverdale,Hopland,Lake Mendocino,Calpella
269,-282408.2672,-282869.0689,-35493.41886,-32017.1859,-14163.94202,-13099.13242,,-169.7452551
270,-280738.7864,-281308.5735,-39758.72438,-35954.64661,-13537.9949,-12229.88146,,-171.3466537
271,-331818.397,-332370.4716,-42097.68937,-38118.65343,-15400.43533,-14010.4927,,-314.201224
272,-284742.1324,-285293.924,-43280.77886,-39397.04261,-16196.02506,-14736.57996,,-258.7415705
273,-273111.9979,-273658.0228,-39934.94976,-36371.20008,-14808.90922,-13232.70089,,-332.9592339
274,-265824.708,-266310.1363,-32191.37604,-29340.34293,-11514.41426,-10294.52427,,-169.7452551
275,-165434.5144,-165828.7805,-21914.99489,-20122.69122,-10227.71232,-9339.92958,,-89.78306012
276,-158594.0638,-158954.0815,-23375.04754,-21767.10797,-12482.66979,-11691.83284,,-102.8668872
277,-178310.4466,-178659.7305,-23168.09792,-21646.11458,-11523.08967,-10852.76386,,-101.6265204
278,-168504.8498,-168858.414,-24568.00379,-22895.85284,-11632.51072,-10827.76148,,-114.5835302
279,-172275.7756,-172650.1092,-26488.92915,-24646.52497,-11792.81585,-10987.25297,,-82.18451878
280,-243794.4625,-244212.0241,-29792.15909,-27352.13531,-13499.88163,-12527.02103,,-123.1839189
281,-267862.8284,-268496.6299,-38905.3612,-35647.20277,-15325.33285,-13961.42631,,-162.9856585
282,-281482.6684,-282046.7859,-42627.94732,-39225.47364,-17707.1117,-16241.75514,,-238.9296188
283,-328020.7055,-328697.1952,-50291.49068,-46493.01577,-22415.40458,-20715.17679,,-308.9377881
284,-259685.7498,-260339.777,-48872.5114,-45217.23138,-22010.51353,-20368.27468,,-310.4544421
285,-263897.469,-264520.631,-47243.46674,-43249.86473,-19544.61887,-17856.98553,,-173.2890696
286,-271523.7397,-272135.2528,-37258.21083,-33716.99528,-13620.58133,-12154.65086,,-160.5837636
287,-207219.4788,-207677.4821,-30410.92971,-27913.36059,-14078.28107,-12989.17421,,-88.2778007
288,-210917.83,-211319.2675,-26182.87483,-24225.52586,-13092.94071,-12182.94633,,-91.85773031
289,-195276.7874,-195663.1792,-25937.8365,-24133.05225,-13395.57797,-12625.642,,-83.58880291
290,-182629.2508,-182980.6807,-21308.52467,-19905.19635,-11962.32716,-11223.19211,,-87.66887793
291,-168854.0341,-169202.3479,-20909.28236,-19350.02896,-10941.01738,-10194.4601,,-105.0300416
292,-224503.0352,-224948.3407,-24765.13471,-22926.0079,-12864.98091,-11828.28749,,-125.4299436
293,-228670.2778,-229214.3495,-30525.39727,-27838.70977,-14757.1967,-13727.43294,,-163.9259244
294,-265854.4018,-266456.7175,-38824.06654,-35712.98016,-17586.51065,-16389.34834,,-317.2194189
295,-280925.4892,-281624.7063,-41147.18073,-37868.55847,-17862.44868,-16499.26404,,-305.8239973
296,-217060.2483,-217665.0951,-42952.49742,-38665.3267,-17155.12979,-15861.87,,-263.08869
297,-267245.5157,-267952.4124,-38946.93374,-34432.79061,-13529.09519,-12245.58667,,-324.2476656
298,-194163.601,-194707.43,-31328.58703,-27996.9558,-12873.19991,-11821.94746,,-168.6637938
299,-169213.0591,-169573.1367,-26272.2714,-24745.44856,-11193.02323,-10467.90121,,-90.80142527
300,-183333.9802,-183676.3358,-24724.39432,-22538.32136,-10736.51935,-10128.43299,,-85.16818474
301,-131014.7672,-131346.0066,-17501.88806,-16767.18081,-11177.02929,-10406.31508,,-90.5201351
302,-137156.9576,-137529.8869,-17565.00534,-17086.03608,-11567.18464,-10872.34691,,-120.2038647
303,-169378.3705,-169791.7229,-19338.81826,-18816.68553,-12191.34033,-11474.49143,,-127.1718321
304,-164003.5312,-164464.5453,-16669.70205,-16077.63446,-8687.892615,-7917.808889,,-133.7578481
305,-185494.5543,-186008.3793,-24871.73544,-22660.1012,-9357.709262,-8551.10664,,-175.3432128
306,-232156.7376,-232819.9738,-31974.55787,-29911.89956,-13941.67979,-12904.4457,,-281.9779787
307,-168538.9586,-169122.1838,-35404.36459,-32976.75816,-14943.2576,-13952.87565,,-264.6883314
308,-188461.2964,-189035.7988,-35823.25564,-33040.13399,-15184.38082,-14139.94174,,-268.9499717
309,-210170.0421,-210866.6613,-32633.10411,-30073.73172,-13116.08399,-11802.66262,,-332.4746257
310,-213442.5083,-213977.0535,-27883.53049,-25717.16855,-11900.01844,-10929.20195,,-174.6374168
311,-133788.655,-134197.6831,-16418.91096,-15927.63964,-9333.178922,-8589.97007,,-162.62944
312,-146918.3976,-147295.946,-15064.38419,-14707.41993,-9235.618533,-8536.353878,,-100.8316052
