time,tasmin_day_CNRM-CM5_rcp45
2007-04-24 00:00:00+00:00,281.47238
2007-04-25 00:00:00+00:00,281.11374
2007-04-26 00:00:00+00:00,280.9183
2007-04-27 00:00:00+00:00,281.3376
2007-04-28 00:00:00+00:00,280.14493
2007-04-29 00:00:00+00:00,283.79413
2007-04-30 00:00:00+00:00,284.2942
2007-05-01 00:00:00+00:00,281.33032
2007-05-02 00:00:00+00:00,280.72128
2007-05-03 00:00:00+00:00,278.6669
2007-05-04 00:00:00+00:00,279.72806
2007-05-05 00:00:00+00:00,277.50284
2007-05-06 00:00:00+00:00,280.0005
2007-05-07 00:00:00+00:00,277.71948
2007-05-08 00:00:00+00:00,277.4523
2007-05-09 00:00:00+00:00,278.73285
2007-05-10 00:00:00+00:00,279.5779
2007-05-11 00:00:00+00:00,279.0253
2007-05-12 00:00:00+00:00,278.908
2007-05-13 00:00:00+00:00,283.55008
2007-05-14 00:00:00+00:00,282.9251
2007-05-15 00:00:00+00:00,281.31622
2007-05-16 00:00:00+00:00,281.63666
2007-05-17 00:00:00+00:00,282.0502
2007-05-18 00:00:00+00:00,282.0625
2007-05-19 00:00:00+00:00,279.28784
2007-05-20 00:00:00+00:00,280.02426
2007-05-21 00:00:00+00:00,279.32718
2007-05-22 00:00:00+00:00,279.83002
2007-05-23 00:00:00+00:00,282.46008
2007-05-24 00:00:00+00:00,283.15155
2007-05-25 00:00:00+00:00,283.11694
2007-05-26 00:00:00+00:00,287.65436
2007-05-27 00:00:00+00:00,287.5304
2007-05-28 00:00:00+00:00,284.6054
2007-05-29 00:00:00+00:00,284.81512
2007-05-30 00:00:00+00:00,287.60504
2007-05-31 00:00:00+00:00,286.81308
2007-06-01 00:00:00+00:00,282.94397
2007-06-02 00:00:00+00:00,284.0022
2007-06-03 00:00:00+00:00,284.05582
2007-06-04 00:00:00+00:00,284.16397
2007-06-05 00:00:00+00:00,283.67947
2007-06-06 00:00:00+00:00,282.68967
2007-06-07 00:00:00+00:00,281.94757
2007-06-08 00:00:00+00:00,282.62186
2007-06-09 00:00:00+00:00,286.35217
2007-06-10 00:00:00+00:00,288.8381
2007-06-11 00:00:00+00:00,287.78418
2007-06-12 00:00:00+00:00,288.21146
2007-06-13 00:00:00+00:00,282.23953
2007-06-14 00:00:00+00:00,286.83636
2007-06-15 00:00:00+00:00,286.1249
2007-06-16 00:00:00+00:00,286.81485
2007-06-17 00:00:00+00:00,286.84375
2007-06-18 00:00:00+00:00,289.8685
2007-06-19 00:00:00+00:00,286.52222
2007-06-20 00:00:00+00:00,285.7059
2007-06-21 00:00:00+00:00,282.69156
2007-06-22 00:00:00+00:00,286.59744
2007-06-23 00:00:00+00:00,285.4003
2007-06-24 00:00:00+00:00,283.77982
2007-06-25 00:00:00+00:00,286.58844
2007-06-26 00:00:00+00:00,287.18253
2007-06-27 00:00:00+00:00,283.32913
2007-06-28 00:00:00+00:00,284.94547
2007-06-29 00:00:00+00:00,284.76324
2007-06-30 00:00:00+00:00,284.8135
2007-07-01 00:00:00+00:00,284.28348
2007-07-02 00:00:00+00:00,285.54294
2007-07-03 00:00:00+00:00,287.8688
2007-07-04 00:00:00+00:00,286.29694
2007-07-05 00:00:00+00:00,283.85617
2007-07-06 00:00:00+00:00,288.9958
2007-07-07 00:00:00+00:00,285.67834
2007-07-08 00:00:00+00:00,283.421
2007-07-09 00:00:00+00:00,285.75668
2007-07-10 00:00:00+00:00,285.95547
2007-07-11 00:00:00+00:00,286.2843
2007-07-12 00:00:00+00:00,285.33627
2007-07-13 00:00:00+00:00,286.17996
2007-07-14 00:00:00+00:00,287.15872
2007-07-15 00:00:00+00:00,283.88742
2007-07-16 00:00:00+00:00,284.4396
2007-07-17 00:00:00+00:00,285.453
2007-07-18 00:00:00+00:00,287.46896
2007-07-19 00:00:00+00:00,287.4148
2007-07-20 00:00:00+00:00,288.0957
2007-07-21 00:00:00+00:00,286.84302
2007-07-22 00:00:00+00:00,283.69104
2007-07-23 00:00:00+00:00,283.81305
2007-07-24 00:00:00+00:00,285.32867
2007-07-25 00:00:00+00:00,284.95438
2007-07-26 00:00:00+00:00,284.91208
2007-07-27 00:00:00+00:00,286.57187
2007-07-28 00:00:00+00:00,285.86353
2007-07-29 00:00:00+00:00,285.37134
2007-07-30 00:00:00+00:00,286.13202
2007-07-31 00:00:00+00:00,285.95386
2007-08-01 00:00:00+00:00,284.60385
2007-08-02 00:00:00+00:00,286.65536
2007-08-03 00:00:00+00:00,288.07852
2007-08-04 00:00:00+00:00,287.96973
2007-08-05 00:00:00+00:00,287.43732
2007-08-06 00:00:00+00:00,287.11356
2007-08-07 00:00:00+00:00,285.6283
2007-08-08 00:00:00+00:00,283.84235
2007-08-09 00:00:00+00:00,284.63785
2007-08-10 00:00:00+00:00,283.83514
2007-08-11 00:00:00+00:00,284.87457
2007-08-12 00:00:00+00:00,285.6565
2007-08-13 00:00:00+00:00,285.14752
2007-08-14 00:00:00+00:00,284.777
2007-08-15 00:00:00+00:00,283.4412
2007-08-16 00:00:00+00:00,285.35086
2007-08-17 00:00:00+00:00,283.20734
2007-08-18 00:00:00+00:00,283.2076
2007-08-19 00:00:00+00:00,285.26807
2007-08-20 00:00:00+00:00,286.27457
2007-08-21 00:00:00+00:00,286.53378
2007-08-22 00:00:00+00:00,285.49118
2007-08-23 00:00:00+00:00,283.9542
2007-08-24 00:00:00+00:00,287.6653
2007-08-25 00:00:00+00:00,285.42072
2007-08-26 00:00:00+00:00,286.13696
2007-08-27 00:00:00+00:00,285.2935
2007-08-28 00:00:00+00:00,284.63034
2007-08-29 00:00:00+00:00,285.94235
2007-08-30 00:00:00+00:00,287.53116
2007-08-31 00:00:00+00:00,285.2462
2007-09-01 00:00:00+00:00,284.9499
2007-09-02 00:00:00+00:00,285.28174
2007-09-03 00:00:00+00:00,289.65955
2007-09-04 00:00:00+00:00,293.18906
2007-09-05 00:00:00+00:00,292.63937
2007-09-06 00:00:00+00:00,288.0541
2007-09-07 00:00:00+00:00,285.71652
2007-09-08 00:00:00+00:00,289.34268
2007-09-09 00:00:00+00:00,287.805
2007-09-10 00:00:00+00:00,291.90292
2007-09-11 00:00:00+00:00,288.9193
2007-09-12 00:00:00+00:00,288.43506
2007-09-13 00:00:00+00:00,289.40988
2007-09-14 00:00:00+00:00,288.7716
