wellnum,wellid,row,col,xcoord,ycoord
416,s4910028w2,345,108,499434,4254222
417,s4910028w3,328,102,497562,4259526
418,s4910028w4,344,108,499434,4254534
419,s4910028w5,345,108,499434,4254222
420,s4910029w1,347,111,500370,4253598
421,s4910029w2,346,110,500058,4253910
422,s4910306w1,322,112,500682,4261398
423,s4910307w1,311,111,500370,4264830
424,s4910307w2,310,110,500058,4265142
425,s4910702w1,257,114,501306,4281678
426,s4910702w2,253,114,501306,4282926
