Link Name,iseg,Diversion,ResRelease,AssocRes,AgDem,AssocDem
112_DWS_512,512,1,0,,1,512
100_DWS_513,513,1,0,,1,513
97_DWS_514,514,1,0,,1,514
98_DWS_515,515,1,0,,0,
90_DWS_516,516,1,0,,1,516
93_DWS_517,517,1,0,,1,517
88_DWS_518,518,1,0,,1,518
74_DWS_519,519,1,0,,1,519
76_DWS_520,520,1,0,,1,520
72_DWS_521,521,1,0,,1,521
80_DWS_522,522,1,0,,1,522
63_DWS_523,523,1,0,,1,523
61_DWS_524,524,1,0,,1,524
55_DWS_525,525,1,0,,1,525
69_DWS_526,526,1,0,,1,526
50_DWS_527,527,1,0,,1,527
37_DWS_528,528,1,0,,1,528
21_DWS_529,529,1,0,,1,529
43_DWS_530,530,1,0,,1,530
47_DWS_531,531,1,0,,0,
35_DWS_532,532,1,0,,1,532
30_DWS_533,533,1,0,,0,
19_DWS_534,534,1,0,,1,534
17_DWS_535,535,1,0,,1,535
39_DWS_536,536,1,0,,1,536
42_DWS_537,537,1,0,,1,537
31_DWS_538,538,1,0,,1,538
34_DWS_539,539,1,0,,1,539
25_DWS_540,540,1,0,,1,540
16_DWS_541,541,1,0,,1,541
13_DWS_542,542,1,0,,1,542
20_DWS_543,543,1,0,,1,543
8_DWS_544,544,1,0,,1,544
5_DWS_545,545,1,0,,1,545
7_DWS_546,546,1,0,,1,546
28_DWS_547,547,1,0,,1,547
107_DWS_548,548,1,0,,1,548
57_DWS_549,549,1,0,,1,549
445_DWS_550,550,1,0,,1,550
443_DWS_551,551,1,0,,1,551
442_DWS_552,552,1,0,,1,552
444_DWS_553,553,1,0,,1,553
441_DWS_554,554,1,0,,1,554
440_DWS_555,555,1,0,,1,555
427_DWS_556,556,1,0,,1,556
437_DWS_557,557,1,0,,1,557
424_DWS_558,558,1,0,,0,
433_DWS_559,559,1,0,,1,559
438_DWS_560,560,1,0,,0,
402_DWS_561,561,1,0,,1,561
393_DWS_562,562,1,0,,1,562
391_DWS_563,563,1,0,,1,563
389_DWS_564,564,1,0,,1,564
387_DWS_565,565,1,0,,1,565
380_DWS_566,566,1,0,,1,566
383_DWS_567,567,1,0,,0,
372_DWS_568,568,1,0,,1,568
397_DWS_569,569,1,0,,1,569
392_DWS_570,570,1,0,,0,
386_DWS_571,571,1,0,,0,
370_DWS_572,572,1,0,,1,572
381_DWS_573,573,1,0,,1,573
373_DWS_574,574,1,0,,1,574
351_DWS_575,575,1,0,,1,575
