,id,Time,tstp,interations
15,111.0,1622.411235332489,365.0,7365.0
39,133.0,1624.6467070579529,365.0,7469.0
112,2.0,1631.1811096668243,365.0,9198.0
6,103.0,1640.226535320282,365.0,7824.0
108,196.0,1642.7827603816986,365.0,12492.0
14,110.0,1644.5694088935852,365.0,7668.0
141,46.0,1649.4243049621582,365.0,10460.0
199,99.0,1653.7277038097382,365.0,7765.0
4,101.0,1673.3075456619263,365.0,7820.0
19,115.0,1674.4938855171204,365.0,7952.0
153,57.0,1680.2240715026855,365.0,11018.0
68,16.0,1680.7097549438477,365.0,10150.0
30,125.0,1683.620608329773,365.0,8094.0
197,97.0,1686.855595588684,365.0,8571.0
43,137.0,1691.9156363010406,365.0,11889.0
157,60.0,1693.6340498924255,365.0,9213.0
16,112.0,1697.9177997112274,365.0,7978.0
151,55.0,1708.1952073574066,365.0,11130.0
198,98.0,1712.7328569889069,365.0,8211.0
186,87.0,1718.0656185150146,365.0,9776.0
162,65.0,1720.9957828521729,365.0,9890.0
170,72.0,1724.4179518222809,365.0,9506.0
36,130.0,1741.9069757461548,365.0,8860.0
143,48.0,1750.7299966812134,365.0,11054.0
23,119.0,1751.6099610328674,365.0,8477.0
172,74.0,1767.4685232639313,365.0,10378.0
27,122.0,1769.0499668121338,365.0,9732.0
37,131.0,1769.3625104427338,365.0,8519.0
134,4.0,1815.3225684165955,365.0,11350.0
196,96.0,1818.429584980011,365.0,9474.0
63,155.0,1826.3870384693146,365.0,11151.0
32,127.0,1833.7431416511536,365.0,9290.0
51,144.0,1907.9656612873077,365.0,13048.0
168,70.0,1919.4503681659698,365.0,11840.0
80,170.0,1977.569776058197,365.0,12992.0
120,27.0,2015.5946209430695,365.0,13576.0
72,163.0,2155.5090041160583,365.0,13212.0
132,38.0,2266.338016986847,365.0,15361.0
96,185.0,2469.900205373764,365.0,16276.0
128,34.0,2515.7817389965057,365.0,17215.0
129,35.0,2556.9097266197205,365.0,16993.0
159,62.0,2616.8075008392334,365.0,19340.0
142,47.0,3605.4225945472717,365.0,24067.0
