obsnme,simval,obsval,weight,obgnme,comments
HO_117,237.335327148,245.390304565,1.0,HEADS,#
HO_118,229.226837158,233.659698486,1.0,HEADS,#
HO_119,231.735168457,239.383804321,1.0,HEADS,#
HO_120,254.413742065,250.395599365,1.0,HEADS,#
HO_121,239.212692261,237.750106812,1.0,HEADS,#
HO_122,251.638046265,315.903900146,1.0,HEADS,#
HO_123,246.183990479,261.981689453,1.0,HEADS,#
HO_124,276.16003418,266.225311279,1.0,HEADS,#
HO_125,239.791748047,273.722290039,1.0,HEADS,#
HO_126,235.121566772,236.408996582,1.0,HEADS,#
HO_127,221.270462036,222.768295288,1.0,HEADS,#
HO_128,216.217651367,181.57699585,1.0,HEADS,#
HO_129,238.803359985,245.484405518,1.0,HEADS,#
HO_130,214.515090942,202.239501953,1.0,HEADS,#
HO_131,228.231826782,229.000793457,1.0,HEADS,#
HO_132,216.621826172,209.319396973,1.0,HEADS,#
HO_133,235.92791748,239.668395996,1.0,HEADS,#
HO_134,235.457885742,239.430404663,1.0,HEADS,#
HO_135,216.759628296,212.784896851,1.0,HEADS,#
HO_136,222.584671021,216.19380188,1.0,HEADS,#
HO_137,235.195617676,235.840301514,1.0,HEADS,#
HO_138,217.862319946,221.047103882,1.0,HEADS,#
HO_139,229.138626099,240.238296509,1.0,HEADS,#
HO_140,227.445571899,238.408493042,1.0,HEADS,#
HO_141,240.458007812,243.412002563,1.0,HEADS,#
HO_142,243.771362305,216.590896606,1.0,HEADS,#
HO_143,244.550918579,246.857498169,1.0,HEADS,#
HO_144,225.915817261,219.979797363,1.0,HEADS,#
HO_145,225.271606445,235.419296265,1.0,HEADS,#
HO_146,255.300567627,261.6144104,1.0,HEADS,#
HO_147,256.56552124,258.690185547,1.0,HEADS,#
HO_148,217.824081421,223.727798462,1.0,HEADS,#
HO_149,219.958236694,216.577194214,1.0,HEADS,#
HO_150,233.329223633,248.27180481,1.0,HEADS,#
HO_151,234.622787476,250.716293335,1.0,HEADS,#
HO_152,192.488845825,189.683395386,1.0,HEADS,#
HO_153,185.58883667,184.069503784,1.0,HEADS,#
HO_154,188.591552734,180.046905518,1.0,HEADS,#
HO_155,188.591552734,177.786300659,1.0,HEADS,#
HO_156,188.591552734,177.568893433,1.0,HEADS,#
HO_157,188.591552734,177.361602783,1.0,HEADS,#
HO_158,213.2056427,201.250106812,1.0,HEADS,#
HO_159,213.2056427,187.113693237,1.0,HEADS,#
HO_160,213.2056427,196.24949646,1.0,HEADS,#
HO_161,303.551483154,296.00201416,1.0,HEADS,#
HO_162,225.092880249,211.044006348,1.0,HEADS,#
HO_163,215.209487915,219.070404053,1.0,HEADS,#
HO_164,215.093902588,215.009506226,1.0,HEADS,#
HO_165,232.159896851,231.485900879,1.0,HEADS,#
HO_166,221.354415894,222.935699463,1.0,HEADS,#
HO_167,276.141723633,271.630615234,1.0,HEADS,#
HO_168,278.222442627,275.42590332,1.0,HEADS,#
HO_169,286.741088867,291.707794189,1.0,HEADS,#
HO_170,286.603179932,291.217010498,1.0,HEADS,#
gflo_1,396050.0,395595.8841,1.0,GgFlo,RUSSIAN_R_NR_UKIAH
gflo_2,716270.0,634756.8383,1.0,GgFlo,EF_RUSSIAN_R_NR_CALPELLA
gflo_3,758010.0,673222.8037,1.0,GgFlo,EF_RUSSIAN_R_NR_UKIAH
gflo_4,-999.0,883061.6941,1.0,GgFlo,RUSSIAN_R_NR_TALMAG
gflo_5,1647100.0,1491150.587,1.0,GgFlo,RUSSIAN_R_NR_HOPLAND
gflo_6,2217300.0,2027111.034,1.0,GgFlo,RUSSIAN_R_NR_CLOVERDALE
gflo_7,-999.0,103461.3666,1.0,GgFlo,BIG_SULPHUR_C_A_G_RESORT_NR_CLOVERDALE
gflo_8,-999.0,69467.94264,1.0,GgFlo,BIG_SULPHUR_C_NR_CLOVERDALE
gflo_9,-999.0,256581.6327,1.0,GgFlo,RUSSIAN_R_GEYSERVILLE
gflo_10,-999.0,268818.2818,1.0,GgFlo,RUSSIAN_R_JIMTOWN
gflo_11,-999.0,2347.101309,1.0,GgFlo,MAACAMA_C_NR_KELLOGG
gflo_12,-999.0,272438.8721,1.0,GgFlo,RUSSIAN_R_DIGGER_BEND_NR_HEALDSBURG
gflo_13,3268500.0,3120063.55,1.0,GgFlo,RUSSIAN_R_NR_HEALDSBURG
gflo_14,-999.0,715847.0784,1.0,GgFlo,DRY_C_NR_GEYSERVILLE
gflo_15,800360.0,270012.4967,1.0,GgFlo,DRY_C_BLW_LAMBERT_BR_NR_GEYSERVILLE
gflo_16,957100.0,192046.4763,1.0,GgFlo,DRY_C_NR_MOUTH_NR_HEALDSBURG
gflo_17,-999.0,709277.9336,1.0,GgFlo,RUSSIAN_R_NR_WINDSOR
gflo_18,5238800.0,4899465.932,1.0,GgFlo,RUSSIAN_R_NR_GUERNEVILLE
