totim,name,ZONE_1,ZONE_2,ZONE_3,ZONE_4,ZONE_5,ZONE_6,ZONE_7,ZONE_8,ZONE_9,ZONE_10,ZONE_11,ZONE_12,ZONE_13,ZONE_14,ZONE_15,ZONE_16,ZONE_17,ZONE_18,ZONE_19,ZONE_20,ZONE_21,ZONE_22
1.0,TO_ZONE_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.192436,0.0,0.9638517,0.0,0.027400445,2168.058,0.0,62.73963,0.019700225,0.0,0.058877558,0.0033287946,0.0
1.0,TO_ZONE_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005100471,5.6511927,0.0,0.0,70816.52,0.0,158.0574,0.0,0.0,0.0,0.0
1.0,TO_ZONE_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031370543,142.66966,0.0,22.032867,0.0,0.47424626,0.0
1.0,TO_ZONE_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.1903,0.0,0.0,70.19463,0.0
1.0,TO_ZONE_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009635564,0.0,0.029393123,0.0,0.0,0.0,0.0,0.081307724,0.007492395
1.0,TO_ZONE_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012567722,0.0,15.922442,145.01265,53.759983,0.0,0.0
1.0,TO_ZONE_22,0.0,0.0,0.0,0.0,0.0,0.011695351,0.0,0.0,0.04032379,0.0,0.0,0.0,0.0,668.0801,0.0,0.0,0.0,0.0,0.0,0.0011056726,0.0,0.0
1.0,TOTAL_OUT,35701.367,24440.291,15253.516,71468.086,109956.09,123130.52,5135.31,34039.793,43415.203,214966.17,50624.76,101998.14,2649.5828,64948.477,6848.3623,138484.53,221043.34,193736.75,6064.048,30668.336,62265.133,597354.5
1.0,IN-OUT,381592.6,339019.62,38735.18,247254.72,231657.4,561735.2,56364.355,261790.95,252090.52,126921.08,159724.7,156776.84,8189.49,146084.25,43492.727,177235.44,71588.56,203308.6,64306.883,350285.1,312264.0,603375.9
1.0,PERCENT_DISCREPANCY,168.47528,174.79736,111.88314,126.73525,102.600975,139.04402,169.17348,158.72346,148.76067,45.585094,122.40649,86.9116,121.42781,105.86536,152.10051,78.04213,27.873081,68.82693,168.2656,170.19754,142.9799,67.11317
