,obsname,well_id,num_meas,min,max,mean,std,median,grid_top_elev,grid_bot_elev,layer,row,col
47,HO_47,011N010W19F002M,40,97.16503755859375,101.61511755859375,100.72129155859375,0.8933133056458973,101.03599755859375,102.55999755859375,34.3599967956543,2,228,109
48,HO_48,011N011W15E001M,1,303.376049765625,303.376049765625,303.376049765625,0.0,303.376049765625,316.010009765625,241.010009765625,2,222,91
49,HO_49,387059N1229679W001,17,48.30796784741211,50.62139984741211,49.43877584741211,0.8709923329352571,49.72223984741211,54.65999984741211,-115.34000396728516,0,258,122
50,HO_50,387076N1229635W001,7,61.534559084472654,61.71743908447266,61.60858194161551,0.06279840164351011,61.595519084472656,66.95999908447266,-168.74000549316406,0,257,124
51,HO_51,387816N1229871W001,8,85.93292494824219,86.47546894824218,86.17485994824219,0.20853720978041262,86.10818494824218,90.69999694824219,20.699996948242188,0,230,117
52,HO_52,388016N1229966W001,17,84.82920335693359,85.8655233569336,85.2498273569336,0.3127117633333585,85.1949633569336,91.2300033569336,27.230003356933594,1,223,114
53,HO_53,011N010W17P002M,18,82.0760766430664,83.5695966430664,82.79743664306642,0.4508339011210222,82.82283664306641,86.7699966430664,16.769996643066406,0,226,113
54,HO_54,387131N1228855W001,10,55.30687633789063,56.800396337890625,55.90306513789062,0.519791160564471,55.85551633789062,68.83999633789062,-21.160003662109375,0,255,146
55,HO_55,387321N1229135W001,11,74.2837649482422,76.47832494824219,75.20730894824219,0.6389217676668609,75.01528494824218,79.94999694824219,-2.2500030994415283,1,248,138
56,HO_56,383679N1228545W001,9,46.45387123706055,47.94739123706054,47.108513903727214,0.4974495738902128,47.03299123706054,52.04999923706055,-217.9499969482422,0,268,155
57,HO_57,383722N1228224W001,14,41.15911969482422,53.19871969482422,49.33167855196708,4.080106587170047,50.43723169482422,55.81999969482422,-214.1800079345703,1,270,165
58,HO_58,386555N1228058W001,46,35.70079847412109,41.583438474121095,39.61549064803414,1.0365470584126755,39.8003584741211,48.349998474121094,-104.45000457763672,1,277,169
59,HO_59,386609N1228132W001,44,34.22664167846679,46.17480167846679,42.3267016784668,3.7154648612864776,44.6355616784668,53.4900016784668,-140.70999145507812,1,275,167
60,HO_60,386656N1228540W001,8,47.567999389648435,49.472999389648436,48.165407389648436,0.5641435492212957,48.04501138964844,52.13999938964844,-82.27799987792969,1,273,156
61,HO_61,386767N1228670W001,49,46.853038321533205,50.9373583215332,48.31856648479852,0.7941013114198135,48.3465583215332,53.0099983215332,-93.56065368652344,1,269,152
62,HO_62,386846N1228291W001,45,53.82983954223633,62.36423954223633,59.13674620890298,2.4620950206051937,60.59639954223633,62.72999954223633,-207.27000427246094,1,266,163
63,HO_63,386909N1228512W001,7,53.18750430517578,54.03484830517578,53.501883733747206,0.3305536720693485,53.37343230517578,58.68000030517578,-211.3199920654297,1,264,156
64,HO_64,012N011W20A001M,1,313.11656732421875,313.11656732421875,313.11656732421875,0.0,313.11656732421875,352.07000732421875,277.07000732421875,1,194,83
65,HO_65,013N011W19H002M,1,138.51767389648438,138.51767389648438,138.51767389648438,0.0,138.51767389648438,145.64999389648438,75.64999389648438,0,160,83
66,HO_66,013N011W31L001M,1,337.48574779296877,337.48574779296877,337.48574779296877,0.0,337.48574779296877,348.54998779296875,273.54998779296875,2,171,80
67,HO_67,013N011W18E001M,39,146.76887816894532,150.63983816894532,147.63068063048377,0.6255525923283437,147.5003981689453,151.9199981689453,81.91999816894531,0,154,79
68,HO_68,389661N1231206W001,30,147.82165661035157,151.43963261035157,149.40316221035155,1.3189333205468137,149.67636461035156,152.86000061035156,70.66000366210938,1,162,78
69,HO_69,389722N1231033W001,31,139.18518589648437,143.56211389648436,140.98842202551663,1.5926618177948708,140.88292189648436,145.64999389648438,75.64999389648438,0,160,83
70,HO_70,389722N1231033W002,31,139.08155389648437,141.69978589648437,140.1421595739037,0.9038174218279758,140.09958589648437,145.64999389648438,75.64999389648438,0,160,83
71,HO_71,012N009W32P001M,1,535.2748535585938,535.2748535585938,535.2748535585938,0.0,535.2748535585938,552.8099975585938,477.80999755859375,2,210,145
72,HO_72,013N011W15R001M,1,228.72199450683593,228.72199450683593,228.72199450683593,0.0,228.72199450683593,247.00999450683594,172.00999450683594,2,157,99
73,HO_73,013N011W15H001M,19,239.086816,244.448248,241.85600421052632,1.9204883484304756,241.528264,244.75,169.75,1,153,98
74,HO_74,013N011W15Q003M,1,216.44108989648439,216.44108989648439,216.44108989648439,0.0,216.44108989648439,222.14999389648438,147.14999389648438,0,156,98
75,HO_75,013N011W15Q002M,16,217.8126898964844,222.69253789648437,221.08605139648438,1.236045491263871,221.38799389648437,222.14999389648438,147.14999389648438,1,156,98
76,HO_76,013N011W15G001M,22,250.73549532421876,253.82921532421875,252.21017314240052,1.1438109001885561,251.87392332421877,254.07000732421875,179.07000732421875,1,154,98
77,HO_77,013N011W22B001M,15,227.4053156621094,231.90416366210937,229.7723924621094,1.7334151525750994,228.97198766210937,232.91000366210938,157.91000366210938,1,158,98
78,HO_78,013N011W22B002M,9,230.15156366210937,232.88866766210938,231.8147556621094,1.0224908104271675,231.99255566210937,232.91000366210938,157.91000366210938,1,158,98
79,HO_79,013N011W22G001M,10,225.73859071386718,227.8142787138672,226.9108515138672,0.6546720860297637,227.1330507138672,230.2100067138672,155.2100067138672,1,159,98
80,HO_80,013N011W15B001M,5,220.21359999999999,223.42924,222.2155264,1.1805851100659575,222.115552,244.75,169.75,2,153,98
81,HO_81,013N011W15Q005M,7,202.61231389648438,205.94377789648436,205.05680989648437,1.0283311097312675,205.26712189648438,222.14999389648438,147.14999389648438,2,156,98
82,HO_82,013N011W15Q004M,21,198.47047267578125,200.10724867578125,199.2945938186384,0.4961476691963579,199.33610467578126,213.67999267578125,131.47999572753906,1,156,97
83,HO_83,013N011W15L001M,1,194.96558589648438,194.96558589648438,194.96558589648438,0.0,194.96558589648438,224.89999389648438,142.6999969482422,2,155,97
84,HO_84,013N011W15P001M,22,194.58160372753906,196.57804372753907,196.04921572753904,0.6225974529177225,196.31439172753906,198.47999572753906,116.27999877929688,0,157,96
85,HO_85,013N011W15P002M,14,167.17543383105468,167.63568183105468,167.54794297391186,0.11484691682836089,167.5777698310547,194.5800018310547,112.3800048828125,2,156,96
86,HO_86,013N011W15F001M,3,225.30423816894532,225.5023581689453,225.42412616894532,0.08607864757301427,225.4657821689453,225.6699981689453,141.63287353515625,0,153,96
87,HO_87,013N011W15M001M,12,220.29733667578125,237.89039267578124,230.06973267578124,4.804632766868243,228.93994067578126,249.92999267578125,167.1344757080078,1,155,95
88,HO_88,013N011W15M004M,11,218.19116867578126,236.28409667578126,227.84307631214486,5.1422829380434685,226.94502467578124,249.92999267578125,167.1344757080078,1,155,95
89,HO_89,013N011W15M005M,13,222.85765667578124,234.82715267578124,227.5379779065505,3.8064074087098927,226.07329667578125,249.92999267578125,167.1344757080078,1,155,95
90,HO_90,013N011W15M007M,1,146.6476541035156,146.6476541035156,146.6476541035156,0.0,146.6476541035156,189.85000610351562,107.65000915527344,2,156,95
91,HO_91,013N011W15M002M,14,205.02685667578123,215.19803267578123,209.99008924720982,3.0715360515367474,210.49039667578126,249.92999267578125,167.1344757080078,2,155,95
