name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
ks_55,1.297,1.92474,-2.55248,5.14649,0.96256,1.07834,-1.19413,3.11925
ks_56,1.86175,1.92474,-1.98774,5.71123,1.86418,1.91233,-1.96048,5.68884
ks_57,0.737234,1.92474,-3.11225,4.58672,0.691515,1.88102,-3.07052,4.45355
ks_58,-0.508789,1.92474,-4.35827,3.3407,-0.494759,1.92394,-4.34263,3.35311
ks_59,-2.16652,1.92474,-6.01601,1.68296,-1.20115,1.54923,-4.29961,1.89732
ks_6,2.34565,1.92474,-1.50384,6.19513,2.38885,1.32211,-0.255375,5.03307
ks_60,0.70066,1.92474,-3.14882,4.55015,0.665036,1.91742,-3.1698,4.49987
ks_61,-1.54452,1.92474,-5.394,2.30497,-1.53248,1.92448,-5.38145,2.31648
ks_62,-0.556416,1.92474,-4.4059,3.29307,-0.71202,0.095534,-0.903088,-0.520952
ks_63,1.02401,1.92474,-2.82547,4.8735,1.03915,1.92474,-2.81033,4.88863
ks_64,-3.21185,1.92474,-7.06133,0.637636,-3.24432,1.91869,-7.0817,0.593051
ks_65,-2.72723,1.92474,-6.57671,1.12226,-2.83931,1.91277,-6.66485,0.986228
ks_66,0.742496,1.92474,-3.10699,4.59198,0.758001,1.92473,-3.09146,4.60746
ks_67,0.949782,1.92474,-2.8997,4.79927,1.07761,1.78993,-2.50226,4.65748
ks_68,-2.03479,1.92474,-5.88427,1.8147,-2.17532,0.767626,-3.71057,-0.640072
ks_69,-0.131939,1.92474,-3.98142,3.71755,-0.119058,1.91968,-3.95842,3.72031
ks_7,-4.9914,2.17474,-9.34088,-0.641915,-5.00516,2.17321,-9.35158,-0.658749
ks_70,0.576332,1.92474,-3.27315,4.42582,0.589981,1.92438,-3.25879,4.43875
ks_71,-5,2.17474,-9.34949,-0.650515,-5.01467,2.17322,-9.36111,-0.668233
ks_72,-4.05404,2.17474,-8.40352,0.295446,-4.05011,2.15505,-8.36021,0.259985
ks_73,-3.94799,1.92474,-7.79748,-0.0985063,-3.99473,1.92208,-7.83889,-0.15056
ks_74,-4.03058,2.17474,-8.38007,0.318901,-4.03013,2.17109,-8.3723,0.312044
ks_75,-4.85387,2.17474,-9.20336,-0.504387,-4.94372,1.4909,-7.92552,-1.96192
ks_76,-3.71675,1.92474,-7.56624,0.132732,-3.83562,0.185545,-4.20671,-3.46453
ks_77,-3.99054,1.92474,-7.84003,-0.14106,-3.99079,1.92201,-7.83482,-0.146765
ks_79,-5,2.17474,-9.34949,-0.650515,-5.01708,2.17322,-9.36353,-0.67064
ks_8,-5,2.17474,-9.34949,-0.650515,-5.01369,2.17322,-9.36012,-0.66725
ks_80,2.41395,1.92474,-1.43553,6.26344,2.27673,1.32826,-0.379786,4.93324
ks_81,-4.04528,2.17474,-8.39476,0.30421,-4.07245,2.17125,-8.41494,0.270041
ks_82,1.9913,1.92474,-1.85818,5.84079,2.69897,1.62333,-0.547685,5.94563
ks_83,0.817122,1.92474,-3.03236,4.66661,0.833518,1.92473,-3.01595,4.68298
ks_84,-4.04479,2.17474,-8.39428,0.304692,-4.07404,2.17123,-8.4165,0.268425
ks_85,-4.88941,2.17474,-9.2389,-0.539925,-4.90463,2.08482,-9.07427,-0.734985
ks_86,-3.88088,1.92474,-7.73036,-0.0313944,-3.88109,1.92181,-7.72471,-0.0374811
ks_87,2.69894,1.92474,-1.15054,6.54843,2.69897,1.09246,0.514041,4.8839
ks_88,1.34012,1.92474,-2.50937,5.1896,1.42839,0.42749,0.573414,2.28337
ks_89,-4.098,1.92474,-7.94748,-0.248512,-4.11034,1.92241,-7.95516,-0.265527
ks_9,0.915636,1.92474,-2.93385,4.76512,0.913941,1.05684,-1.19974,3.02763
ks_90,0.651655,1.92474,-3.19783,4.50114,0.667,1.92474,-3.18248,4.51649
ks_92,-3.94317,1.92474,-7.79265,-0.0936825,-3.94339,1.92199,-7.78736,-0.0994165
ks_93,-1.37934,1.92474,-5.22882,2.47015,-0.731602,0.748146,-2.22789,0.76469
ks_94,-4.51713,2.17474,-8.86661,-0.167641,-5.01814,2.17322,-9.36459,-0.671694
ks_95,-4,1.92474,-7.84949,-0.150515,-4.00034,1.92214,-7.84462,-0.156055
ks_96,-3.76222,1.92474,-7.6117,0.0872674,-3.76246,1.92142,-7.60529,0.0803822
ks_97,-4.25806,2.17474,-8.60755,0.0914241,-4.52449,0.034417,-4.59333,-4.45566
ks_98,-3.94118,1.92474,-7.79066,-0.0916905,-3.96438,1.92204,-7.80847,-0.120289
ks_99,-3.97267,1.92474,-7.82216,-0.123186,-3.97291,1.92207,-7.81705,-0.128775
lak_cond_12,-0.00240826,1.25,-2.50241,2.49759,0.012615,1.25,-2.48738,2.51262
pond_recharge,4.15447,1.25,1.65447,6.65447,4.34294,0.505828,3.33128,5.3546
sfr_k_1,-0.928842,1.92474,-4.77833,2.92064,-1.21804,1.21561,-3.64926,1.21319
sfr_k_10,-0.996001,1.92474,-4.84549,2.85348,-0.946829,1.01182,-2.97047,1.07682
sfr_k_11,-1.00024,1.92474,-4.84972,2.84925,-0.663457,1.90927,-4.48199,3.15507
sfr_k_12,-0.991485,1.92474,-4.84097,2.858,-0.0530682,1.76539,-3.58385,3.47771
sfr_k_13,-0.999977,1.92474,-4.84946,2.84951,-1.00168,1.92474,-4.85117,2.8478
sfr_k_14,-0.997293,1.92474,-4.84678,2.85219,-0.70719,1.45581,-3.61881,2.20443
sfr_k_15,-0.999268,1.92474,-4.84875,2.85022,-0.88898,1.87489,-4.63875,2.8608
sfr_k_16,-0.977433,1.92474,-4.82692,2.87205,-0.571307,1.38847,-3.34824,2.20563
sfr_k_17,-0.997843,1.92474,-4.84733,2.85164,-0.963193,1.19629,-3.35578,1.42939
sfr_k_18,-0.815497,1.92474,-4.66498,3.03399,-0.84932,1.71174,-4.2728,2.57415
sfr_k_19,-0.999792,1.92474,-4.84928,2.84969,-0.984974,1.87931,-4.74359,2.77364
sfr_k_2,-1.00124,1.92474,-4.85072,2.84825,-0.741094,1.88083,-4.50275,3.02057
sfr_k_20,-0.999124,1.92474,-4.84861,2.85036,-0.983261,1.92472,-4.83269,2.86617
sfr_k_21,-0.999752,1.92474,-4.84924,2.84973,-0.754118,0.358656,-1.47143,-0.0368064
sfr_k_22,-0.969235,1.92474,-4.81872,2.88025,-0.900767,1.89926,-4.69929,2.89776
sfr_k_3,-1.02616,1.92474,-4.87565,2.82332,-1.02616,1.92301,-4.87218,2.81985
sfr_k_4,-1.01022,1.92474,-4.85971,2.83926,-1.51429,0.857971,-3.23023,0.201652
sfr_k_5,-0.951263,1.92474,-4.80075,2.89822,-0.687366,1.78436,-4.25609,2.88135
sfr_k_6,-0.996102,1.92474,-4.84559,2.85338,-0.232146,1.42334,-3.07882,2.61453
sfr_k_7,-0.99601,1.92474,-4.84549,2.85348,-0.594623,1.92474,-4.44411,3.25486
sfr_k_8,-0.991855,1.92474,-4.84134,2.85763,-0.519657,1.92473,-4.36912,3.3298
sfr_k_9,-0.97982,1.92474,-4.8293,2.86967,-0.750642,1.87999,-4.51062,3.00934
spill_688,8.23013,0.8425,6.54513,9.91513,8.23,0.826185,6.57763,9.88237
surfk_1_1,-3.60161,3.17474,-9.95109,2.74788,-3.64958,3.12824,-9.90606,2.6069
surfk_1_10,-3.5999,3.17474,-9.94938,2.74959,-3.59666,3.15697,-9.9106,2.71728
surfk_1_11,-3.60014,3.17474,-9.94963,2.74934,-3.60052,3.15694,-9.9144,2.71337
surfk_1_12,-3.60029,3.17474,-9.94978,2.74919,-3.60063,3.15694,-9.91451,2.71324
surfk_1_13,-3.60017,3.17474,-9.94965,2.74932,-3.60052,3.15694,-9.91439,2.71335
surfk_1_14,-3.60022,3.17474,-9.94971,2.74926,-3.60067,3.15694,-9.91454,2.71321
surfk_1_15,-3.60185,3.17474,-9.95133,2.74764,-3.63633,3.15742,-9.95117,2.67851
surfk_1_16,-3.60213,3.17474,-9.95161,2.74736,-3.64296,3.15106,-9.94508,2.65916
surfk_1_17,-3.60012,3.17474,-9.94961,2.74936,-3.60047,3.15693,-9.91434,2.7134
surfk_1_18,-3.60155,3.17474,-9.95104,2.74793,-3.57881,3.01507,-9.60895,2.45133
