name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
KS_232,-3.44943,1.92474,-7.29891,0.400058,-3.44943,1.92474,-7.29891,0.400057
KS_233,-4.21548,1.92474,-8.06496,-0.365994,-4.21548,1.92445,-8.06438,-0.366578
KS_24,-1.30635,1.92474,-5.15584,2.54313,-1.30635,1.91262,-5.13159,2.51889
KS_25,-1.05993,1.92474,-4.90942,2.78955,-1.05993,1.91987,-4.89967,2.7798
KS_26,2.69678,1.92474,-1.15271,6.54626,2.69692,1.80059,-0.904265,6.29811
KS_27,-0.116517,1.92474,-3.966,3.73297,-0.116527,1.73484,-3.5862,3.35315
KS_28,-0.403477,1.92474,-4.25296,3.44601,-0.403479,0.491059,-1.3856,0.578639
KS_29,0.514988,1.92474,-3.3345,4.36447,0.514986,1.188,-1.86102,2.89099
KS_3,-0.144869,1.92474,-3.99435,3.70462,-0.144869,1.92474,-3.99435,3.70462
KS_30,-4.99801,1.92474,-8.8475,-1.14853,-4.99801,1.92082,-8.83966,-1.15636
KS_31,0.420248,1.92474,-3.42924,4.26973,0.420248,1.92474,-3.42924,4.26973
KS_32,-3.69942,1.92474,-7.5489,0.150068,-3.69942,1.92474,-7.5489,0.150068
KS_33,-1.00646,1.92474,-4.85594,2.84303,-1.00646,1.92474,-4.85593,2.84302
KS_34,1.71779,1.92474,-2.13169,5.56728,1.71779,1.9165,-2.1152,5.55079
KS_35,-3.70688,1.92474,-7.55636,0.14261,-3.70688,1.92473,-7.55634,0.142585
KS_36,-3.21958,1.92474,-7.06906,0.629909,-3.21958,1.90848,-7.03654,0.597388
KS_37,-3.64666,1.92474,-7.49615,0.202823,-3.64666,1.92473,-7.49613,0.202807
KS_38,-0.668552,1.92474,-4.51804,3.18093,-0.668552,1.92472,-4.518,3.1809
KS_39,-3.70811,1.92474,-7.5576,0.141375,-3.70811,1.92474,-7.5576,0.141375
KS_4,0.774865,1.92474,-3.07462,4.62435,0.774907,0.999824,-1.22474,2.77455
KS_40,-0.187583,1.92474,-4.03707,3.6619,-0.187583,1.92463,-4.03685,3.66168
KS_41,0.057936,1.92474,-3.79155,3.90742,0.057936,1.92474,-3.79155,3.90742
KS_42,0.353247,1.92474,-3.49624,4.20273,0.353247,1.91435,-3.47545,4.18194
KS_43,-0.569528,1.92474,-4.41901,3.27996,-0.569528,1.92474,-4.41901,3.27995
KS_44,-0.308322,1.92474,-4.15781,3.54116,-0.30832,1.8776,-4.06351,3.44687
KS_45,-1.79298,1.92474,-5.64247,2.0565,-1.79299,1.21107,-4.21512,0.62915
KS_46,0.217193,1.92474,-3.63229,4.06668,0.21718,1.11946,-2.02173,2.45609
KS_47,0.730532,1.92474,-3.11895,4.58002,0.730532,1.92474,-3.11895,4.58002
KS_48,0.926344,1.92474,-2.92314,4.77583,0.926344,1.92453,-2.92271,4.7754
KS_49,-3.68248,1.92474,-7.53196,0.167008,-3.68248,1.92472,-7.53192,0.166969
KS_5,1.64998,1.92474,-2.19951,5.49946,1.65,1.2611,-0.872203,4.17219
KS_50,0.47218,1.92474,-3.37731,4.32166,0.472178,1.92464,-3.37711,4.32146
